Origin,Destination,FlightNumber,DepartureDate,bookedPax,capacity,DepartureTime,Lid,adjustedCapacity,tbf_bookings
BLR,GAU,1323,2023-09-29,0,189,10:00,189,189,0
BLR,GAU,1323,2023-09-30,7,189,10:00,189,189,0
BLR,GAU,1134,2023-09-30,25,189,10:00,189,189,0
BLR,GAU,1134,2023-10-01,20,189,10:00,189,189,0
BLR,GAU,1323,2023-10-01,1,189,10:00,189,189,0
BLR,GAU,1323,2023-10-02,0,189,10:00,189,189,0
BLR,GAU,1134,2023-10-02,22,189,10:00,189,189,0
BLR,GAU,1134,2023-10-03,20,189,10:00,189,189,0
BLR,GAU,1323,2023-10-03,0,189,10:00,189,189,0
BLR,GAU,1323,2023-10-04,1,189,10:00,189,189,0
BLR,GAU,1134,2023-10-04,20,189,10:00,189,189,0
BLR,GAU,1134,2023-10-05,20,189,10:00,189,189,0
BLR,GAU,1323,2023-10-05,0,189,10:00,189,189,0
BLR,GAU,1323,2023-10-06,1,189,10:00,189,189,0
BLR,GAU,1134,2023-10-06,21,189,10:00,189,189,0
BLR,GAU,1323,2023-10-07,2,189,10:00,189,189,0
BLR,GAU,1134,2023-10-07,20,189,10:00,189,189,0
BLR,GAU,1323,2023-10-08,1,189,10:00,189,189,0
BLR,GAU,1134,2023-10-08,20,189,10:00,189,189,0
BLR,GAU,1134,2023-10-09,20,189,10:00,189,189,0
BLR,GAU,1323,2023-10-09,4,189,10:00,189,189,0
BLR,GAU,1323,2023-10-10,0,189,10:00,189,189,0
BLR,GAU,1134,2023-10-10,20,189,10:00,189,189,0
BLR,GAU,1323,2023-10-11,0,189,10:00,189,189,0
BLR,GAU,1134,2023-10-11,20,189,10:00,189,189,0
BLR,GAU,1323,2023-10-12,3,189,10:00,189,189,0
BLR,GAU,1134,2023-10-12,20,189,10:00,189,189,0
BLR,GAU,1134,2023-10-13,20,189,10:00,189,189,0
BLR,GAU,1323,2023-10-13,0,189,10:00,189,189,0
BLR,GAU,1323,2023-10-14,19,189,10:00,189,189,0
